name,poi
BELDEN TIMOTHY N,0.76579773
BOWEN JR RAYMOND M,0.3982505
HANNON KEVIN P,0.9106882
DELAINEY DAVID W,0.036111966
CAUSEY RICHARD A,0.6298854
HICKERSON GARY J,0.27303794
FREVERT MARK A,0.8445881
CHAN RONNIE,0.0077397847
DONAHUE JR JEFFREY M,0.22010823
REYNOLDS LAWRENCE,0.040415894
HORTON STANLEY C,0.009753239
LEWIS RICHARD,0.0030614384
SHERRICK JEFFREY B,0.006048537
MEYER JEROME J,0.0047510066
DERRICK JR. JAMES V,0.7111531
PIRO JIM,0.0038293279
DETMERING TIMOTHY J,0.02415281
KISHKILL JOSEPH G,0.2646324
BAY FRANKLIN R,0.19789807
PRENTICE JAMES,0.0030614384
TOTAL,0.7098446
FALLON JAMES B,0.61262393
METTS MARK,0.02999135
WODRASKA JOHN,0.016325066
MORDAUNT KRISTINA M,0.010093069
CARTER REBECCA C,0.015473102
BHATNAGAR SANJAY,0.017586239
WALTERS GARETH W,0.010178883
BIBI PHILIPPE A,0.10467437
SHERRIFF JOHN R,0.06797451
GIBBS DANA R,0.003773791
LINDHOLM TOD A,0.11169731
MCMAHON JEFFREY,0.6652894
