name,poi
BELDEN TIMOTHY N,0.85295486
BOWEN JR RAYMOND M,0.10097659
HANNON KEVIN P,0.8434193
DELAINEY DAVID W,0.0855745
CAUSEY RICHARD A,0.34992132
HICKERSON GARY J,0.28532544
FREVERT MARK A,0.70341986
CHAN RONNIE,0.013900758
DONAHUE JR JEFFREY M,0.03998182
REYNOLDS LAWRENCE,0.10868633
HORTON STANLEY C,0.005929267
LEWIS RICHARD,0.0040563564
SHERRICK JEFFREY B,0.0036262309
MEYER JEROME J,0.006036388
DERRICK JR. JAMES V,0.73181033
PIRO JIM,0.004869753
DETMERING TIMOTHY J,0.08570512
KISHKILL JOSEPH G,0.18700816
BAY FRANKLIN R,0.1709996
PRENTICE JAMES,0.0040563564
TOTAL,0.75839126
FALLON JAMES B,0.42018366
METTS MARK,0.014725176
WODRASKA JOHN,0.023947727
MORDAUNT KRISTINA M,0.0074009085
CARTER REBECCA C,0.012956909
BHATNAGAR SANJAY,0.043133505
WALTERS GARETH W,0.009725458
BIBI PHILIPPE A,0.081284836
SHERRIFF JOHN R,0.067258656
GIBBS DANA R,0.005673331
LINDHOLM TOD A,0.12274429
MCMAHON JEFFREY,0.5415439
